interface,smelly
"{'configure': {'implementation': '../Scripts/rsyslog/config.sh', 'inputs': {'logstash_ip': {'get_attribute': ['logstash_server', 'private_address']}}}}",false
"{'configure': {'implementation': '../Python/collectd/config.py', 'inputs': {'logstash_ip': {'get_attribute': ['logstash_server', 'private_address']}}}}",false
"{'configure': {'implementation': '../Scripts/kibana/config.sh', 'inputs': {'elasticsearch_ip': {'get_attribute': ['elasticsearch_server', 'private_address']}, 'kibana_ip': {'get_attribute': ['kibana_server', 'private_address']}}}}",false
"{'configure': {'implementation': '../Scripts/mongodb/config.sh', 'inputs': {'mongodb_ip': {'get_attribute': ['mongo_server', 'private_address']}}}}",false
"{'configure': {'implementation': '../Scripts/nodejs/config.sh', 'inputs': {'github_url': {'get_property': ['SELF', 'github_url']}, 'mongodb_ip': {'get_attribute': ['mongo_server', 'private_address']}}}}",false
{'CustomOp4': {'inputs': {'param3': {'type': 'string'}}}},false
"{'configure': {'implementation': 'mysql/mysql_database_configure.sh', 'inputs': {'db_port': {'get_property': ['HOST', 'port']}, 'test': {'get_property': ['HOST', 'test']}}}}",false
"{'create': {'implementation': 'mysql/mysql_dbms_install.sh', 'inputs': {'db_root_password': 'passw0rd'}}}",false
"{'configure': {'implementation': 'mysql/mysql_dbms_configure.sh', 'inputs': {'db_port': 3366}}}",false
"{'configure': {'implementation': 'mysql/mysql_database_configure.sh', 'inputs': {'db_name': 'wordpress', 'db_user': 'wp_user', 'db_password': 'wp_pass', 'db_root_password': 'passw0rd'}}}",false
"{'configure': {'implementation': 'wordpress/wordpress_configure.sh', 'inputs': {'wp_db_name': 'wordpress', 'wp_db_user': 'wp_user', 'wp_db_password': 'wp_pass'}}}",false
"{'configure': {'implementation': 'mongodb/config.sh', 'inputs': {'mongodb_ip': {'get_attribute': ['mongo_server', 'private_address']}}}}",false
"{'configure': {'implementation': 'nodejs/config.sh', 'inputs': {'github_url': 'http://github.com/paypal/rest-api-sample-app-nodejs.git', 'mongodb_ip': {'get_attribute': ['mongo_server', 'private_address']}}}}",false
"{'configure': {'implementation': '../Scripts/MYSQLDBMS/configure.sh', 'inputs': {'root_password': {'get_property': ['mysql_dbms', 'root_password']}}}}",false
"{'configure': {'implementation': '../Scripts/MYSQLDatabase/configure.sh', 'inputs': {'db_name': {'get_property': ['SELF', 'name']}, 'db_user': {'get_property': ['SELF', 'user']}, 'db_password': {'get_property': ['SELF', 'password']}, 'db_root_password': {'get_property': ['mysql_dbms', 'root_password']}}}}",false
"{'configure': {'implementation': '../Scripts/WordPress/configure.sh', 'inputs': {'wp_db_name': {'get_property': ['mysql_database', 'name']}, 'wp_db_user': {'get_property': ['mysql_database', 'user']}, 'wp_db_password': {'get_property': ['mysql_database', 'password']}}}}",false
"{'inputs': {'wp_db_name': {'type': 'string'}, 'wp_db_user': {'type': 'string'}, 'wp_db_password': {'type': 'string'}}}",false
"{'configure': {'implementation': 'start_server.sh', 'inputs': {'image_id': {'get_input': 'image_id'}}}}",false
"{'configure': {'inputs': {'github_url': {'type': 'string'}, 'mongodb_ip': {'type': 'string'}}}}",false
{'CustomOp': {'inputs': {'param': {'type': 'string'}}}},false
{'CustomOp3': {'inputs': {'param3': {'type': 'string'}}}},false
"{'configure': {'implementation': 'configure.sh', 'inputs': {'ip_address': {'get_attribute': ['HOST', 'private_address']}}}}",false
"{'configure': {'implementation': 'configure.sh', 'inputs': {'ip_address': {'get_attribute': ['SELF', 'private_address', 0]}}}}",false
"{'create': {'implementation': 'nodejs/create.sh', 'inputs': {'data_dir': {'get_operation_output': ['front_end', 'Standard', 'create', 'data_dir']}}}}",false
"{'configure': {'implementation': 'database_configure.sh', 'inputs': {'db_port': {'get_property': ['SELF', 'database_endpoint', 'unknown']}}}}",false
"{'configure': {'implementation': 'some_script.sh', 'inputs': {'some_input': {'get_property': ['SELF', 'some_req', 'type']}}}}",false
"{'configure': {'implementation': 'configure.sh', 'inputs': {'ip_address': {'get_attribute': ['SELF', 'attr_list', 0]}}}}",false
"{'configure': {'implementation': 'rsyslog/config.sh', 'inputs': {'logstash_ip': {'get_attribute': ['logstash_server', 'private_address']}}}}",false
"{'configure': {'implementation': 'collectd/config.py', 'inputs': {'logstash_ip': {'get_attribute': ['logstash_server', 'private_address']}}}}",false
"{'configure': {'implementation': 'kibana/config.sh', 'inputs': {'elasticsearch_ip': {'get_attribute': ['elasticsearch_server', 'private_address']}, 'kibana_ip': {'get_attribute': ['kibana_server', 'private_address']}}}}",false
"{'configure': {'implementation': 'nodejs/config.sh', 'inputs': {'github_url': {'get_property': ['SELF', 'github_url']}, 'mongodb_ip': {'get_attribute': ['mongo_server', 'private_address']}}}}",false
"{'create': {'implementation': 'mysql/mysql_dbms_install.sh', 'inputs': {'db_root_password': {'get_property': ['mysql_dbms', 'root_password']}}}}",false
"{'configure': {'implementation': 'mysql/mysql_dbms_configure.sh', 'inputs': {'db_port': {'get_property': ['mysql_dbms', 'port']}}}}",false
"{'configure': {'implementation': 'mysql/mysql_database_configure.sh', 'inputs': {'db_name': {'get_property': ['SELF', 'name']}, 'db_user': {'get_property': ['SELF', 'user']}, 'db_password': {'get_property': ['SELF', 'passwords']}, 'db_root_password': {'get_property': ['mysql_dbms', 'root_password']}}}}",false
"{'configure': {'implementation': 'wordpress/wordpress_configure.sh', 'inputs': {'wp_db_name': {'get_property': ['mysql_database', 'name']}, 'wp_db_user': {'get_property': ['mysql_database', 'user']}, 'wp_db_password': {'get_property': ['mysql_database', 'password']}}}}",false
"{'configure': {'implementation': 'wordpress/wordpress_configure.sh', 'inputs': {'wp_endpoint_protocol': {'get_property': ['SELF', 'database_endpoint', 'ports', 'user_port', 'protocol']}, 'wp_list_prop': {'get_property': ['mysql_database', 'list_prop', 2]}}}}",false
"{'create': {'implementation': 'my_image', 'inputs': {'MYSQL_ROOT_PASSWORD': {'get_input': 'mysql_root_pwd'}}}}",false
"{'configure': {'implementation': 'mysql/mysql_database_configure.sh', 'inputs': {'db_name': {'get_property': ['SELF', 'name']}, 'db_user': {'get_property': ['SELF', 'user']}, 'db_password': {'get_property': ['SELF', 'password']}, 'db_root_password': {'get_property': ['mysql_dbms', 'root_password']}}}}",false
"{'configure': {'implementation': 'configure.sh', 'inputs': {'ip_address': {'get_attribute': ['SELF', 'endpoint', 'credential', 0, 'token']}}}}",false
"{'add_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collector_added.yml', 'dashboard_dir': {'get_attribute': ['TARGET', 'dashboard_dir']}, 'grafana_url': {'get_attribute': ['TARGET', 'grafana_url']}, 'grafana_user': {'get_attribute': ['TARGET', 'grafana_user']}, 'grafana_password': {'get_attribute': ['TARGET', 'grafana_password']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connects_to_grafana.yml', 'grafana_url': {'concat': [{'get_attribute': ['TARGET', 'http_endpoint', 'protocol']}, '://', {'get_attribute': ['TARGET', 'http_endpoint', 'ip_address']}, ':', {'get_attribute': ['TARGET', 'http_endpoint', 'port']}]}, 'grafana_user': {'get_attribute': ['TARGET', 'http_endpoint', 'user']}, 'grafana_password': {'get_attribute': ['TARGET', 'http_endpoint', 'password']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connects_to_graphite.yml', 'graphite_host': {'get_attribute': ['TARGET', 'data_endpoint', 'ip_address']}, 'graphite_port': {'get_attribute': ['TARGET', 'data_endpoint', 'port']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'create': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'create.yml', 'collectors_conf_path': {'get_property': ['SELF', 'collectors_conf_path']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'configure': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'configure.yml', 'datasource_name': {'get_property': ['SELF', 'datasource_name']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'start': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'start.yml', 'dashboard_dir': {'get_attribute': ['SELF', 'dashboard_dir']}, 'grafana_url': {'get_attribute': ['SELF', 'grafana_url']}, 'grafana_user': {'get_attribute': ['SELF', 'grafana_user']}, 'grafana_password': {'get_attribute': ['SELF', 'grafana_password']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'stop': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'stop.yml'}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'delete': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'delete.yml', 'dashboard_dir': {'get_attribute': ['SELF', 'dashboard_dir']}, 'grafana_url': {'get_attribute': ['SELF', 'grafana_url']}, 'grafana_user': {'get_attribute': ['SELF', 'grafana_user']}, 'grafana_password': {'get_attribute': ['SELF', 'grafana_password']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'create': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'create.yml', 'max_file': {'get_property': ['SELF', 'max_file']}}, 'implementation': 'playbook/playbook.ansible'}}",false
"{'start': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'start.yml', 'repositoryUrl': {'get_property': ['SELF', 'repositoryUrl']}, 'repositoryUsername': {'get_property': ['SELF', 'repositoryUsername']}, 'repositoryPassword': {'get_property': ['SELF', 'repositoryPassword']}, 'branchId': {'get_property': ['SELF', 'branchId']}, 'subPath': {'get_property': ['SELF', 'subPath']}, 'alien_user': {'get_property': ['HOST', 'rest', 'user']}, 'alien_password': {'get_property': ['HOST', 'rest', 'password']}, 'alien_url': {'get_attribute': ['HOST', 'alien_url']}}, 'implementation': 'playbook/playbook.ansible'}}",true
"{'add_target': {'inputs': {'lb_name': {'get_property': ['SOURCE', 'lb_name']}, 'instance_id': {'get_attribute': ['TARGET', 'aws_resource_id']}, 'region': {'get_property': ['SOURCE', 'region']}, 'aws_access_key': {'get_property': ['SOURCE', 'aws_access_key_id']}, 'aws_secret_key': {'get_property': ['SOURCE', 'aws_secret_access_key']}}, 'implementation': 'scripts/add_target.sh'}}",false
"{'remove_target': {'inputs': {'lb_name': {'get_property': ['SOURCE', 'lb_name']}, 'instance_id': {'get_attribute': ['TARGET', 'aws_resource_id']}, 'region': {'get_property': ['SOURCE', 'region']}, 'aws_access_key': {'get_property': ['SOURCE', 'aws_access_key_id']}, 'aws_secret_key': {'get_property': ['SOURCE', 'aws_secret_access_key']}}, 'implementation': 'scripts/remove_target.sh'}}",false
"{'create': {'inputs': {'SOURCE_CODE': {'get_property': ['SELF', 'source']}, 'WORK_DIR': {'get_property': ['SELF', 'working_directory']}}, 'implementation': 'scripts/create.sh'}}",false
"{'configure': {'inputs': {'POOL_FILE_NAME': {'get_property': ['SELF', 'pool_file_name']}, 'WORK_DIR': {'get_property': ['SELF', 'working_directory']}}, 'implementation': 'scripts/configure.sh'}}",false
"{'start': {'inputs': {'PORT': {'get_property': ['SELF', 'port']}, 'WORK_DIR': {'get_property': ['SELF', 'working_directory']}}, 'implementation': 'scripts/start.sh'}}",false
