lcot,lines_code,num_capabilities,num_imports,num_inputs,num_interfaces,num_keys,num_node_templates,num_node_types,num_properties,num_relationship_templates,num_relationship_types,num_requirements,num_suspicious_comments,num_tokens,text_entropy,url
1.0,57.0,2.0,2.0,0.0,0.0,50.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,158.0,6.4,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/storage/elasticsearch/pub/types.yml
6.0,116.0,6.0,4.0,0.0,0.0,112.0,6.0,0.0,31.0,0.0,0.0,5.0,0.0,192.0,6.16,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/doc/kube/topology/06-nodecellar-mongo-antiaffinity/tosca.yaml
2.0,210.0,1.0,2.0,0.0,4.0,247.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,473.0,5.51,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/mock/bash/types.yml
1.0,28.0,0.0,1.0,0.0,1.0,29.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,55.0,5.33,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/git/git-type.yml
2.0,157.0,1.0,1.0,0.0,3.0,155.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,310.0,5.95,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/demo-service-operations/demo-service-operations.yml
13.0,191.0,10.0,2.0,0.0,0.0,191.0,13.0,0.0,33.0,0.0,0.0,18.0,0.0,307.0,6.15,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-kubernetes/topology-kubernetes.yaml
1.0,31.0,0.0,3.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,56.0,5.53,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/applications/types.yml
2.0,232.0,1.0,3.0,0.0,4.0,269.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,526.0,5.5,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/mock/ansible/types.yml
7.0,74.0,0.0,4.0,0.0,0.0,70.0,7.0,0.0,8.0,0.0,0.0,7.0,0.0,121.0,5.64,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-alien4cloud/topology-alien.yml
1.0,64.0,1.0,3.0,0.0,3.0,71.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,127.0,5.89,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/demo/kafka/topic/types.yml
1.0,37.0,1.0,2.0,0.0,1.0,37.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,64.0,5.53,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/cloud/amazon/cli/linux_bash/types.yml
1.0,36.0,1.0,1.0,0.0,1.0,38.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,73.0,5.91,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/ansible/types.yml
1.0,60.0,1.0,2.0,0.0,2.0,60.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,108.0,6.26,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/elasticsearch/elasticsearch-type.yml
2.0,39.0,2.0,3.0,0.0,0.0,36.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,63.0,5.58,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/sandbox/services/dummy/topologies/ALIEN_2412/types.yml
1.0,39.0,1.0,2.0,0.0,1.0,42.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,79.0,6.07,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/www/apache/linux_sh/tosca.yml
5.0,60.0,1.0,4.0,0.0,0.0,58.0,5.0,0.0,4.0,0.0,0.0,4.0,0.0,126.0,6.26,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-nodecellar-service/nodecellar-template.yaml
1.0,24.0,2.0,1.0,0.0,0.0,22.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,42.0,5.06,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/sandbox/newbie/topologies/1Centos/types.yml
1.0,23.0,0.0,4.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,5.26,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/patches/patch_tasks/types.yml
1.0,41.0,0.0,4.0,0.0,1.0,43.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,87.0,5.81,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/location/types.yml
