ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.3131,0.4,19.0,2.0,0.4188,0.7778,0.2692,175.0,7.0
0.5585,0.625,4.0,2.0,0.6018,0.7143,0.5556,100.0,5.0
0.6013,0.6667,3.0,2.0,0.6411,0.7143,0.625,89.0,5.0
0.2977,0.3902,23.0,2.0,0.4136,0.8,0.2581,188.0,8.0
0.4795,0.56,10.0,1.0,0.5703,0.875,0.4118,132.0,7.0
0.4751,0.56,10.0,1.0,0.5687,0.875,0.4118,125.0,7.0
0.4657,0.5455,9.0,1.0,0.5551,0.8571,0.4,119.0,6.0
0.5617,0.625,4.0,2.0,0.6031,0.7143,0.5556,105.0,5.0
0.3113,0.4,23.0,1.0,0.4438,0.8889,0.2581,187.0,8.0
0.5572,0.625,4.0,2.0,0.6013,0.7143,0.5556,98.0,5.0
0.3878,0.4878,19.0,2.0,0.4959,0.8333,0.3448,178.0,10.0
0.2977,0.3902,23.0,2.0,0.4136,0.8,0.2581,188.0,8.0
0.4325,0.5385,20.0,4.0,0.5217,0.7778,0.4118,213.0,14.0
0.304,0.3871,17.0,2.0,0.4038,0.75,0.2609,163.0,6.0
0.5558,0.625,4.0,2.0,0.6007,0.7143,0.5556,96.0,5.0
0.3371,0.4242,17.0,2.0,0.4379,0.7778,0.2917,167.0,7.0
0.4944,0.5714,11.0,1.0,0.5837,0.8889,0.4211,153.0,8.0
0.602,0.6667,3.0,2.0,0.6414,0.7143,0.625,90.0,5.0
0.6013,0.6667,3.0,2.0,0.6411,0.7143,0.625,89.0,5.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.4657,0.5455,9.0,1.0,0.5551,0.8571,0.4,119.0,6.0
0.4676,0.5455,9.0,1.0,0.5558,0.8571,0.4,122.0,6.0
0.071,0.0909,20.0,0.0,0.2058,1.0,0.0476,161.0,1.0
0.356,0.4375,17.0,1.0,0.4732,0.875,0.2917,169.0,7.0
0.6013,0.6667,3.0,2.0,0.6411,0.7143,0.625,89.0,5.0
0.1184,0.1538,22.0,0.0,0.2712,1.0,0.0833,165.0,2.0
0.463,0.5455,9.0,1.0,0.5541,0.8571,0.4,115.0,6.0
0.295,0.3902,23.0,2.0,0.4123,0.8,0.2581,182.0,8.0
0.314,0.4,19.0,2.0,0.4192,0.7778,0.2692,177.0,7.0
0.294,0.3902,23.0,2.0,0.4119,0.8,0.2581,180.0,8.0
0.3952,0.4848,15.0,2.0,0.4902,0.8,0.3478,163.0,8.0
0.4939,0.5714,11.0,1.0,0.5835,0.8889,0.4211,152.0,8.0
0.4657,0.5455,9.0,1.0,0.5551,0.8571,0.4,119.0,6.0
0.3299,0.4138,15.0,2.0,0.4248,0.75,0.2857,154.0,6.0
0.3556,0.4375,17.0,1.0,0.473,0.875,0.2917,168.0,7.0
0.4795,0.56,10.0,1.0,0.5703,0.875,0.4118,132.0,7.0
0.2719,0.3636,26.0,2.0,0.3925,0.8,0.2353,198.0,8.0
0.2771,0.3636,26.0,2.0,0.3949,0.8,0.2353,211.0,8.0
0.5982,0.6667,3.0,2.0,0.6399,0.7143,0.625,85.0,5.0
0.3138,0.4,23.0,1.0,0.4448,0.8889,0.2581,193.0,8.0
0.2715,0.3636,26.0,2.0,0.3923,0.8,0.2353,197.0,8.0
0.5204,0.5882,5.0,2.0,0.5684,0.7143,0.5,109.0,5.0
0.294,0.3902,23.0,2.0,0.4119,0.8,0.2581,180.0,8.0
0.4944,0.5714,11.0,1.0,0.5837,0.8889,0.4211,153.0,8.0
0.4585,0.5385,11.0,1.0,0.5534,0.875,0.3889,140.0,7.0
0.4795,0.56,10.0,1.0,0.5703,0.875,0.4118,132.0,7.0
0.5204,0.5882,5.0,2.0,0.5684,0.7143,0.5,109.0,5.0
0.4965,0.5833,8.0,2.0,0.5669,0.7778,0.4667,118.0,7.0
0.3138,0.4,23.0,1.0,0.4448,0.8889,0.2581,193.0,8.0
0.458,0.5385,11.0,1.0,0.5532,0.875,0.3889,139.0,7.0
0.5572,0.625,4.0,2.0,0.6013,0.7143,0.5556,98.0,5.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.4627,0.5385,11.0,1.0,0.5549,0.875,0.3889,148.0,7.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.4596,0.5385,11.0,1.0,0.5538,0.875,0.3889,142.0,7.0
0.2748,0.3636,26.0,2.0,0.3938,0.8,0.2353,205.0,8.0
0.4585,0.5385,11.0,1.0,0.5534,0.875,0.3889,140.0,7.0
0.338,0.4242,17.0,2.0,0.4384,0.7778,0.2917,169.0,7.0
0.4776,0.56,10.0,1.0,0.5696,0.875,0.4118,129.0,7.0
0.2719,0.3636,26.0,2.0,0.3925,0.8,0.2353,198.0,8.0
0.6027,0.6667,3.0,2.0,0.6417,0.7143,0.625,91.0,5.0
0.3104,0.4,23.0,1.0,0.4435,0.8889,0.2581,185.0,8.0
0.3513,0.4286,15.0,1.0,0.4638,0.8571,0.2857,157.0,6.0
0.4125,0.5,14.0,2.0,0.5032,0.8,0.3636,162.0,8.0
0.5598,0.625,4.0,2.0,0.6024,0.7143,0.5556,102.0,5.0
0.4627,0.5385,11.0,1.0,0.5549,0.875,0.3889,148.0,7.0
0.5551,0.625,4.0,2.0,0.6004,0.7143,0.5556,95.0,5.0
0.3952,0.4848,15.0,2.0,0.4902,0.8,0.3478,163.0,8.0
0.4806,0.56,10.0,1.0,0.5707,0.875,0.4118,134.0,7.0
0.2732,0.3636,26.0,2.0,0.3931,0.8,0.2353,201.0,8.0
0.3261,0.4118,18.0,2.0,0.4287,0.7778,0.28,174.0,7.0
0.1197,0.1538,22.0,0.0,0.2718,1.0,0.0833,172.0,2.0
0.2782,0.3636,26.0,2.0,0.3954,0.8,0.2353,214.0,8.0
0.2894,0.3721,26.0,1.0,0.4239,0.8889,0.2353,211.0,8.0
0.4602,0.5385,11.0,1.0,0.554,0.875,0.3889,143.0,7.0
0.3366,0.4242,17.0,2.0,0.4377,0.7778,0.2917,166.0,7.0
0.4936,0.5833,8.0,2.0,0.5658,0.7778,0.4667,114.0,7.0
0.4269,0.5333,19.0,2.0,0.5352,0.8571,0.3871,180.0,12.0
0.5536,0.625,4.0,2.0,0.5998,0.7143,0.5556,93.0,5.0
0.6034,0.6667,3.0,2.0,0.642,0.7143,0.625,92.0,5.0
0.314,0.4,19.0,2.0,0.4192,0.7778,0.2692,177.0,7.0
0.0994,0.125,14.0,0.0,0.2444,1.0,0.0667,121.0,1.0
0.4057,0.5106,21.0,2.0,0.5177,0.8571,0.3636,192.0,12.0
0.48,0.56,10.0,1.0,0.5705,0.875,0.4118,133.0,7.0
0.5551,0.625,4.0,2.0,0.6004,0.7143,0.5556,95.0,5.0
0.082,0.1111,32.0,0.0,0.2259,1.0,0.0588,209.0,2.0
0.4676,0.5455,9.0,1.0,0.5558,0.8571,0.4,122.0,6.0
0.2767,0.3636,26.0,2.0,0.3947,0.8,0.2353,210.0,8.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.4627,0.5385,11.0,1.0,0.5549,0.875,0.3889,148.0,7.0
0.4795,0.56,10.0,1.0,0.5703,0.875,0.4118,132.0,7.0
0.4279,0.5161,13.0,2.0,0.5158,0.8,0.381,155.0,8.0
0.3937,0.4865,17.0,2.0,0.4943,0.8182,0.3462,175.0,9.0
0.2868,0.3721,26.0,1.0,0.4228,0.8889,0.2353,204.0,8.0
0.4607,0.5385,11.0,1.0,0.5542,0.875,0.3889,144.0,7.0
0.5204,0.5882,5.0,2.0,0.5684,0.7143,0.5,109.0,5.0
0.4617,0.5385,11.0,1.0,0.5546,0.875,0.3889,146.0,7.0
0.4596,0.5385,11.0,1.0,0.5538,0.875,0.3889,142.0,7.0
0.4958,0.5833,8.0,2.0,0.5667,0.7778,0.4667,117.0,7.0
0.3014,0.3889,20.0,2.0,0.4096,0.7778,0.2593,177.0,7.0
