ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.5031,0.6349,14.0,9.0,0.5807,0.6897,0.5882,190.0,20.0
0.239,0.3158,25.0,1.0,0.3734,0.8571,0.1935,189.0,6.0
0.5743,0.6923,6.0,10.0,0.6473,0.6429,0.75,159.0,18.0
0.5722,0.6923,6.0,10.0,0.6464,0.6429,0.75,156.0,18.0
0.5043,0.6452,11.0,11.0,0.5851,0.6452,0.6452,172.0,20.0
0.5087,0.6364,13.0,11.0,0.5817,0.6562,0.6176,206.0,21.0
0.5428,0.6667,7.0,11.0,0.6175,0.6207,0.72,165.0,18.0
0.5279,0.6545,8.0,11.0,0.6024,0.6207,0.6923,168.0,18.0
0.5484,0.6667,6.0,10.0,0.6205,0.6154,0.7273,154.0,16.0
0.5081,0.6349,14.0,9.0,0.5829,0.6897,0.5882,198.0,20.0
0.3095,0.3871,18.0,1.0,0.4308,0.8571,0.25,168.0,6.0
0.4614,0.5882,5.0,9.0,0.5361,0.5263,0.6667,114.0,10.0
0.5102,0.6341,5.0,10.0,0.587,0.5652,0.7222,132.0,13.0
0.3186,0.381,13.0,0.0,0.4634,1.0,0.2353,136.0,4.0
0.3177,0.381,13.0,0.0,0.4631,1.0,0.2353,134.0,4.0
0.1047,0.1379,25.0,0.0,0.2549,1.0,0.0741,179.0,2.0
0.4842,0.625,13.0,11.0,0.5639,0.6452,0.6061,183.0,20.0
0.498,0.6364,13.0,11.0,0.5771,0.6562,0.6176,189.0,21.0
0.5051,0.6452,11.0,11.0,0.5854,0.6452,0.6452,173.0,20.0
0.5729,0.6923,6.0,10.0,0.6467,0.6429,0.75,157.0,18.0
0.5123,0.6429,9.0,11.0,0.5876,0.6207,0.6667,169.0,18.0
0.4503,0.56,2.0,9.0,0.5381,0.4375,0.7778,98.0,7.0
0.5043,0.6452,11.0,11.0,0.5851,0.6452,0.6452,172.0,20.0
0.4952,0.619,5.0,11.0,0.5732,0.5417,0.7222,138.0,13.0
0.5678,0.6809,6.0,9.0,0.6363,0.64,0.7273,154.0,16.0
0.5323,0.6667,10.0,11.0,0.6108,0.6562,0.6774,177.0,21.0
0.5015,0.6316,5.0,9.0,0.5801,0.5714,0.7059,117.0,12.0
0.5064,0.6087,2.0,7.0,0.5822,0.5,0.7778,93.0,7.0
0.5075,0.6341,5.0,10.0,0.5859,0.5652,0.7222,129.0,13.0
0.5559,0.6667,7.0,8.0,0.6207,0.6522,0.6818,155.0,15.0
0.1191,0.1538,22.0,0.0,0.2715,1.0,0.0833,169.0,2.0
0.4537,0.5882,5.0,9.0,0.5327,0.5263,0.6667,107.0,10.0
0.0812,0.1111,32.0,0.0,0.2254,1.0,0.0588,203.0,2.0
0.5365,0.6552,14.0,6.0,0.6134,0.76,0.5758,188.0,19.0
0.5111,0.6341,5.0,10.0,0.5874,0.5652,0.7222,133.0,13.0
0.563,0.6809,5.0,10.0,0.6377,0.6154,0.7619,147.0,16.0
0.5053,0.6087,2.0,7.0,0.5818,0.5,0.7778,92.0,7.0
0.4813,0.5926,2.0,9.0,0.5692,0.4706,0.8,101.0,8.0
0.5043,0.6452,11.0,11.0,0.5851,0.6452,0.6452,172.0,20.0
0.2896,0.3478,15.0,0.0,0.438,1.0,0.2105,154.0,4.0
0.5,0.6364,13.0,11.0,0.578,0.6562,0.6176,192.0,21.0
0.5404,0.65,5.0,9.0,0.6078,0.5909,0.7222,143.0,13.0
0.5031,0.6087,2.0,7.0,0.5809,0.5,0.7778,90.0,7.0
0.5053,0.6087,2.0,7.0,0.5818,0.5,0.7778,92.0,7.0
0.5041,0.5714,4.0,2.0,0.5473,0.6667,0.5,93.0,4.0
0.5565,0.6667,5.0,9.0,0.6248,0.6087,0.7368,145.0,14.0
0.5082,0.6364,13.0,11.0,0.5815,0.6562,0.6176,205.0,21.0
0.4481,0.56,2.0,9.0,0.5373,0.4375,0.7778,96.0,7.0
0.5458,0.6667,5.0,11.0,0.6234,0.5926,0.7619,150.0,16.0
0.4582,0.5882,5.0,9.0,0.5347,0.5263,0.6667,111.0,10.0
0.5622,0.6809,5.0,10.0,0.6374,0.6154,0.7619,146.0,16.0
0.5031,0.6087,2.0,7.0,0.5809,0.5,0.7778,90.0,7.0
0.5596,0.6667,5.0,8.0,0.6247,0.619,0.7222,139.0,13.0
0.5072,0.6441,10.0,11.0,0.5857,0.6333,0.6552,169.0,19.0
0.5484,0.6667,6.0,10.0,0.6205,0.6154,0.7273,154.0,16.0
0.5404,0.65,5.0,9.0,0.6078,0.5909,0.7222,143.0,13.0
0.5743,0.6923,6.0,10.0,0.6473,0.6429,0.75,159.0,18.0
0.5714,0.6923,6.0,10.0,0.6461,0.6429,0.75,155.0,18.0
0.5678,0.6809,6.0,9.0,0.6363,0.64,0.7273,154.0,16.0
0.5075,0.6462,12.0,11.0,0.5871,0.6562,0.6364,183.0,21.0
0.4969,0.619,5.0,11.0,0.5739,0.5417,0.7222,140.0,13.0
0.542,0.6557,14.0,7.0,0.6134,0.7407,0.5882,207.0,20.0
0.3159,0.381,13.0,0.0,0.4625,1.0,0.2353,130.0,4.0
0.5743,0.6923,6.0,10.0,0.6473,0.6429,0.75,159.0,18.0
0.5458,0.6667,5.0,11.0,0.6234,0.5926,0.7619,150.0,16.0
0.5265,0.6545,8.0,11.0,0.6018,0.6207,0.6923,166.0,18.0
0.5565,0.6667,5.0,9.0,0.6248,0.6087,0.7368,145.0,14.0
0.5826,0.6957,5.0,9.0,0.6536,0.64,0.7619,146.0,16.0
0.4093,0.5217,19.0,3.0,0.5103,0.8,0.3871,177.0,12.0
0.2994,0.3704,16.0,1.0,0.4149,0.8333,0.2381,160.0,5.0
0.0891,0.1212,29.0,0.0,0.2363,1.0,0.0645,187.0,2.0
0.5557,0.6667,5.0,9.0,0.6245,0.6087,0.7368,144.0,14.0
0.5,0.6364,13.0,11.0,0.578,0.6562,0.6176,192.0,21.0
0.4823,0.5926,2.0,9.0,0.5696,0.4706,0.8,102.0,8.0
0.4791,0.5926,2.0,9.0,0.5684,0.4706,0.8,99.0,8.0
0.5458,0.6667,5.0,11.0,0.6234,0.5926,0.7619,150.0,16.0
0.447,0.56,2.0,9.0,0.5368,0.4375,0.7778,95.0,7.0
0.5458,0.6667,5.0,11.0,0.6234,0.5926,0.7619,150.0,16.0
0.511,0.6441,12.0,9.0,0.5884,0.6786,0.6129,174.0,19.0
0.563,0.6809,5.0,10.0,0.6377,0.6154,0.7619,147.0,16.0
0.388,0.4706,5.0,4.0,0.429,0.5,0.4444,101.0,4.0
0.2359,0.3158,25.0,1.0,0.372,0.8571,0.1935,181.0,6.0
0.3002,0.3704,16.0,1.0,0.4153,0.8333,0.2381,162.0,5.0
0.5058,0.6364,13.0,11.0,0.5804,0.6562,0.6176,201.0,21.0
0.5484,0.6667,6.0,10.0,0.6205,0.6154,0.7273,154.0,16.0
0.4764,0.5833,2.0,8.0,0.5588,0.4667,0.7778,95.0,7.0
0.5271,0.6667,10.0,11.0,0.6086,0.6562,0.6774,170.0,21.0
0.4582,0.5882,5.0,9.0,0.5347,0.5263,0.6667,111.0,10.0
0.563,0.6809,5.0,10.0,0.6377,0.6154,0.7619,147.0,16.0
0.545,0.6667,5.0,11.0,0.6231,0.5926,0.7619,149.0,16.0
0.5348,0.6364,1.0,7.0,0.6246,0.5,0.875,85.0,7.0
0.5344,0.6667,10.0,11.0,0.6117,0.6562,0.6774,180.0,21.0
0.4823,0.5926,2.0,9.0,0.5696,0.4706,0.8,102.0,8.0
0.5714,0.6923,6.0,10.0,0.6461,0.6429,0.75,155.0,18.0
0.3449,0.4167,13.0,1.0,0.4513,0.8333,0.2778,146.0,5.0
0.4764,0.5833,2.0,8.0,0.5588,0.4667,0.7778,95.0,7.0
0.5751,0.6923,6.0,10.0,0.6476,0.6429,0.75,160.0,18.0
0.5087,0.6349,14.0,9.0,0.5831,0.6897,0.5882,199.0,20.0
0.5404,0.65,5.0,9.0,0.6078,0.5909,0.7222,143.0,13.0
0.4753,0.5833,2.0,8.0,0.5584,0.4667,0.7778,94.0,7.0
