ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.6969,0.7692,0.0,6.0,0.7689,0.625,1.0,105.0,10.0
0.7413,0.8235,0.0,9.0,0.8123,0.7,1.0,148.0,21.0
0.6372,0.7273,0.0,6.0,0.7291,0.5714,1.0,80.0,8.0
0.7392,0.8333,1.0,11.0,0.8122,0.7317,0.9677,175.0,30.0
0.7272,0.8205,2.0,12.0,0.797,0.7273,0.9412,203.0,32.0
0.7392,0.8333,1.0,11.0,0.8122,0.7317,0.9677,175.0,30.0
0.7824,0.85,0.0,6.0,0.8397,0.7391,1.0,124.0,17.0
0.7199,0.8077,0.0,10.0,0.7971,0.6774,1.0,151.0,21.0
0.7433,0.8333,1.0,11.0,0.8134,0.7317,0.9677,183.0,30.0
0.7262,0.8,0.0,6.0,0.7945,0.6667,1.0,107.0,12.0
0.7205,0.8077,0.0,10.0,0.7972,0.6774,1.0,152.0,21.0
0.6719,0.75,0.0,6.0,0.7512,0.6,1.0,95.0,9.0
0.7262,0.8205,2.0,12.0,0.7967,0.7273,0.9412,201.0,32.0
0.7294,0.8197,0.0,11.0,0.8067,0.6944,1.0,164.0,25.0
0.7856,0.85,0.0,6.0,0.8405,0.7391,1.0,130.0,17.0
0.7228,0.8205,2.0,12.0,0.7957,0.7273,0.9412,194.0,32.0
0.7356,0.8254,0.0,11.0,0.8118,0.7027,1.0,166.0,26.0
0.7205,0.8077,0.0,10.0,0.7972,0.6774,1.0,152.0,21.0
0.7431,0.8276,0.0,10.0,0.8152,0.7059,1.0,161.0,24.0
0.7585,0.8333,0.0,6.0,0.823,0.7143,1.0,110.0,15.0
0.6586,0.7407,0.0,7.0,0.7424,0.5882,1.0,104.0,10.0
0.7414,0.8182,0.0,8.0,0.8093,0.6923,1.0,140.0,18.0
0.7433,0.8333,1.0,11.0,0.8134,0.7317,0.9677,183.0,30.0
0.6586,0.7407,0.0,7.0,0.7424,0.5882,1.0,104.0,10.0
0.7056,0.8,0.0,11.0,0.7886,0.6667,1.0,153.0,22.0
0.7511,0.8421,1.0,11.0,0.8213,0.7442,0.9697,183.0,32.0
0.7056,0.8,0.0,11.0,0.7886,0.6667,1.0,153.0,22.0
0.6833,0.7619,0.0,5.0,0.761,0.6154,1.0,80.0,8.0
0.7206,0.8136,0.0,11.0,0.8007,0.6857,1.0,158.0,24.0
0.7936,0.8571,0.0,6.0,0.8471,0.75,1.0,133.0,18.0
0.6971,0.7925,0.0,11.0,0.7819,0.6562,1.0,150.0,21.0
0.6415,0.7273,0.0,6.0,0.7303,0.5714,1.0,84.0,8.0
0.6727,0.75,0.0,6.0,0.7515,0.6,1.0,96.0,9.0
0.7669,0.8372,0.0,7.0,0.8276,0.72,1.0,137.0,18.0
0.7272,0.8205,2.0,12.0,0.797,0.7273,0.9412,203.0,32.0
0.7218,0.8205,2.0,12.0,0.7954,0.7273,0.9412,192.0,32.0
0.7368,0.8312,2.0,11.0,0.8064,0.7442,0.9412,189.0,32.0
0.7565,0.8293,0.0,7.0,0.82,0.7083,1.0,131.0,17.0
0.7782,0.85,0.0,6.0,0.8385,0.7391,1.0,117.0,17.0
0.6463,0.7273,0.0,6.0,0.7317,0.5714,1.0,89.0,8.0
0.7789,0.85,0.0,6.0,0.8387,0.7391,1.0,118.0,17.0
0.7272,0.8205,2.0,12.0,0.797,0.7273,0.9412,203.0,32.0
0.7194,0.8136,0.0,11.0,0.8003,0.6857,1.0,156.0,24.0
0.6685,0.75,0.0,6.0,0.7503,0.6,1.0,91.0,9.0
0.6685,0.75,0.0,6.0,0.7503,0.6,1.0,91.0,9.0
0.7397,0.8333,1.0,11.0,0.8124,0.7317,0.9677,176.0,30.0
0.7199,0.8077,0.0,10.0,0.7971,0.6774,1.0,151.0,21.0
0.7368,0.8312,2.0,11.0,0.8064,0.7442,0.9412,189.0,32.0
0.6666,0.75,0.0,6.0,0.7497,0.6,1.0,89.0,9.0
0.7433,0.8333,1.0,11.0,0.8134,0.7317,0.9677,183.0,30.0
0.7056,0.8,0.0,11.0,0.7886,0.6667,1.0,153.0,22.0
0.7433,0.8333,1.0,11.0,0.8134,0.7317,0.9677,183.0,30.0
0.6743,0.75,0.0,6.0,0.7519,0.6,1.0,98.0,9.0
0.6743,0.75,0.0,6.0,0.7519,0.6,1.0,98.0,9.0
0.7366,0.8254,0.0,11.0,0.8121,0.7027,1.0,168.0,26.0
0.6971,0.7925,0.0,11.0,0.7819,0.6562,1.0,150.0,21.0
0.7124,0.807,0.0,11.0,0.7946,0.6765,1.0,154.0,23.0
0.7119,0.7857,0.0,6.0,0.7824,0.6471,1.0,105.0,11.0
0.7824,0.85,0.0,6.0,0.8397,0.7391,1.0,124.0,17.0
0.7056,0.8,0.0,11.0,0.7886,0.6667,1.0,153.0,22.0
0.7267,0.8205,2.0,12.0,0.7969,0.7273,0.9412,202.0,32.0
0.7217,0.8136,0.0,11.0,0.801,0.6857,1.0,160.0,24.0
0.7261,0.8085,0.0,9.0,0.7993,0.6786,1.0,145.0,19.0
0.7612,0.8333,0.0,6.0,0.8238,0.7143,1.0,114.0,15.0
0.7056,0.8,0.0,11.0,0.7886,0.6667,1.0,153.0,22.0
0.7428,0.8333,1.0,11.0,0.8133,0.7317,0.9677,182.0,30.0
0.7392,0.8333,1.0,11.0,0.8122,0.7317,0.9677,175.0,30.0
