ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.4507,0.5778,9.0,10.0,0.5195,0.5652,0.5909,153.0,13.0
0.4014,0.4848,16.0,1.0,0.5129,0.8889,0.3333,171.0,8.0
0.5219,0.6765,3.0,19.0,0.6412,0.5476,0.8846,158.0,23.0
0.3977,0.4615,6.0,1.0,0.472,0.75,0.3333,94.0,3.0
0.6544,0.7333,6.0,2.0,0.7108,0.8462,0.6471,125.0,11.0
0.3872,0.4706,17.0,1.0,0.5017,0.8889,0.32,176.0,8.0
0.5353,0.6154,9.0,1.0,0.6179,0.8889,0.4706,131.0,8.0
0.4486,0.5217,11.0,0.0,0.5708,1.0,0.3529,132.0,6.0
0.5489,0.6552,15.0,5.0,0.6231,0.7917,0.5588,210.0,19.0
0.5848,0.6857,5.0,6.0,0.6449,0.6667,0.7059,128.0,12.0
0.5216,0.6383,9.0,8.0,0.5883,0.6522,0.625,161.0,15.0
0.5495,0.65,8.0,6.0,0.6084,0.6842,0.619,157.0,13.0
0.6319,0.7143,5.0,3.0,0.6839,0.7692,0.6667,118.0,10.0
0.553,0.6452,7.0,4.0,0.6097,0.7143,0.5882,134.0,10.0
0.6168,0.7059,6.0,4.0,0.6718,0.75,0.6667,135.0,12.0
0.5886,0.6875,6.0,4.0,0.649,0.7333,0.6471,119.0,11.0
0.5816,0.7037,5.0,11.0,0.6609,0.6333,0.7917,155.0,19.0
0.43,0.5714,4.0,11.0,0.5218,0.4762,0.7143,105.0,10.0
0.6326,0.7097,7.0,2.0,0.6905,0.8462,0.6111,140.0,11.0
0.6286,0.7097,6.0,3.0,0.6815,0.7857,0.6471,134.0,11.0
0.6283,0.7143,5.0,3.0,0.6825,0.7692,0.6667,113.0,10.0
0.5448,0.6849,9.0,14.0,0.63,0.641,0.7353,189.0,25.0
0.6044,0.7027,5.0,6.0,0.6636,0.6842,0.7222,134.0,13.0
0.508,0.619,9.0,7.0,0.5712,0.65,0.5909,156.0,13.0
0.5331,0.6769,7.0,14.0,0.6233,0.6111,0.7586,166.0,22.0
0.4651,0.5714,8.0,7.0,0.5226,0.5882,0.5556,145.0,10.0
0.6092,0.6897,7.0,2.0,0.6698,0.8333,0.5882,131.0,10.0
0.3159,0.381,13.0,0.0,0.4625,1.0,0.2353,130.0,4.0
0.5824,0.6818,9.0,5.0,0.6447,0.75,0.625,164.0,15.0
0.4869,0.5946,8.0,7.0,0.5463,0.6111,0.5789,147.0,11.0
