ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.5555,0.6512,12.0,3.0,0.6292,0.8235,0.5385,174.0,14.0
0.5128,0.5882,4.0,3.0,0.5553,0.625,0.5556,99.0,5.0
0.6013,0.6667,3.0,2.0,0.6411,0.7143,0.625,89.0,5.0
0.5063,0.6122,16.0,3.0,0.5943,0.8333,0.4839,187.0,15.0
0.5291,0.6207,8.0,3.0,0.5922,0.75,0.5294,130.0,9.0
0.524,0.6207,8.0,3.0,0.5902,0.75,0.5294,123.0,9.0
0.5231,0.6154,7.0,3.0,0.584,0.7273,0.5333,117.0,8.0
0.5163,0.5882,4.0,3.0,0.5569,0.625,0.5556,104.0,5.0
0.5052,0.6122,16.0,3.0,0.5939,0.8333,0.4839,185.0,15.0
0.5572,0.625,4.0,2.0,0.6013,0.7143,0.5556,98.0,5.0
0.5342,0.6383,14.0,3.0,0.6168,0.8333,0.5172,177.0,15.0
0.5063,0.6122,16.0,3.0,0.5943,0.8333,0.4839,187.0,15.0
0.5027,0.6038,18.0,3.0,0.5909,0.8421,0.4706,214.0,16.0
0.5377,0.6316,11.0,3.0,0.609,0.8,0.5217,162.0,12.0
0.5558,0.625,4.0,2.0,0.6007,0.7143,0.5556,96.0,5.0
0.5563,0.65,11.0,3.0,0.627,0.8125,0.5417,166.0,13.0
0.5573,0.6471,8.0,4.0,0.6144,0.7333,0.5789,150.0,11.0
0.602,0.6667,3.0,2.0,0.6414,0.7143,0.625,90.0,5.0
0.6013,0.6667,3.0,2.0,0.6411,0.7143,0.625,89.0,5.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.5231,0.6154,7.0,3.0,0.584,0.7273,0.5333,117.0,8.0
0.5253,0.6154,7.0,3.0,0.5849,0.7273,0.5333,120.0,8.0
0.58,0.6667,9.0,3.0,0.6422,0.8,0.5714,158.0,12.0
0.5569,0.65,11.0,3.0,0.6272,0.8125,0.5417,167.0,13.0
0.6013,0.6667,3.0,2.0,0.6411,0.7143,0.625,89.0,5.0
0.5541,0.65,11.0,3.0,0.6261,0.8125,0.5417,162.0,13.0
0.5199,0.6154,7.0,3.0,0.5826,0.7273,0.5333,113.0,8.0
0.5029,0.6122,16.0,3.0,0.593,0.8333,0.4839,181.0,15.0
0.5566,0.6512,12.0,3.0,0.6296,0.8235,0.5385,176.0,14.0
0.5017,0.6122,16.0,3.0,0.5926,0.8333,0.4839,179.0,15.0
0.5377,0.6316,11.0,3.0,0.609,0.8,0.5217,162.0,12.0
0.5567,0.6471,8.0,4.0,0.6142,0.7333,0.5789,149.0,11.0
0.5231,0.6154,7.0,3.0,0.584,0.7273,0.5333,117.0,8.0
0.5297,0.6316,9.0,5.0,0.5919,0.7059,0.5714,151.0,12.0
0.5563,0.65,11.0,3.0,0.627,0.8125,0.5417,166.0,13.0
0.5291,0.6207,8.0,3.0,0.5922,0.75,0.5294,130.0,9.0
0.4944,0.6038,18.0,3.0,0.5878,0.8421,0.4706,197.0,16.0
0.5009,0.6038,18.0,3.0,0.5902,0.8421,0.4706,210.0,16.0
0.5982,0.6667,3.0,2.0,0.6399,0.7143,0.625,85.0,5.0
0.5084,0.6122,16.0,3.0,0.5951,0.8333,0.4839,191.0,15.0
0.4939,0.6038,18.0,3.0,0.5876,0.8421,0.4706,196.0,16.0
0.5591,0.6316,4.0,3.0,0.6013,0.6667,0.6,108.0,6.0
0.5017,0.6122,16.0,3.0,0.5926,0.8333,0.4839,179.0,15.0
0.5573,0.6471,8.0,4.0,0.6144,0.7333,0.5789,150.0,11.0
0.5563,0.6452,8.0,3.0,0.6178,0.7692,0.5556,138.0,10.0
0.5291,0.6207,8.0,3.0,0.5922,0.75,0.5294,130.0,9.0
0.5591,0.6316,4.0,3.0,0.6013,0.6667,0.6,108.0,6.0
0.5231,0.6154,7.0,3.0,0.584,0.7273,0.5333,117.0,8.0
0.5084,0.6122,16.0,3.0,0.5951,0.8333,0.4839,191.0,15.0
0.5557,0.6452,8.0,3.0,0.6176,0.7692,0.5556,137.0,10.0
0.5572,0.625,4.0,2.0,0.6013,0.7143,0.5556,98.0,5.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.5344,0.625,8.0,4.0,0.5916,0.7143,0.5556,145.0,10.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.5575,0.6452,8.0,3.0,0.6183,0.7692,0.5556,140.0,10.0
0.498,0.6038,18.0,3.0,0.5892,0.8421,0.4706,204.0,16.0
0.5563,0.6452,8.0,3.0,0.6178,0.7692,0.5556,138.0,10.0
0.5574,0.65,11.0,3.0,0.6274,0.8125,0.5417,168.0,13.0
0.527,0.6207,8.0,3.0,0.5914,0.75,0.5294,127.0,9.0
0.4944,0.6038,18.0,3.0,0.5878,0.8421,0.4706,197.0,16.0
0.6027,0.6667,3.0,2.0,0.6417,0.7143,0.625,91.0,5.0
0.504,0.6122,16.0,3.0,0.5934,0.8333,0.4839,183.0,15.0
0.5309,0.6316,9.0,5.0,0.5925,0.7059,0.5714,153.0,12.0
0.5588,0.6486,10.0,3.0,0.6252,0.8,0.5455,161.0,12.0
0.5142,0.5882,4.0,3.0,0.556,0.625,0.5556,101.0,5.0
0.5344,0.625,8.0,4.0,0.5916,0.7143,0.5556,145.0,10.0
0.5551,0.625,4.0,2.0,0.6004,0.7143,0.5556,95.0,5.0
0.5377,0.6316,11.0,3.0,0.609,0.8,0.5217,162.0,12.0
0.5304,0.6207,8.0,3.0,0.5928,0.75,0.5294,132.0,9.0
0.496,0.6038,18.0,3.0,0.5884,0.8421,0.4706,200.0,16.0
0.5749,0.6667,11.0,3.0,0.644,0.8235,0.56,173.0,14.0
0.5579,0.65,11.0,3.0,0.6276,0.8125,0.5417,169.0,13.0
0.5023,0.6038,18.0,3.0,0.5908,0.8421,0.4706,213.0,16.0
0.5004,0.6038,18.0,3.0,0.5901,0.8421,0.4706,209.0,16.0
0.5581,0.6452,8.0,3.0,0.6186,0.7692,0.5556,141.0,10.0
0.5558,0.65,11.0,3.0,0.6268,0.8125,0.5417,165.0,13.0
0.5199,0.6154,7.0,3.0,0.5826,0.7273,0.5333,113.0,8.0
0.5017,0.6122,16.0,3.0,0.5926,0.8333,0.4839,179.0,15.0
0.5536,0.625,4.0,2.0,0.5998,0.7143,0.5556,93.0,5.0
0.6034,0.6667,3.0,2.0,0.642,0.7143,0.625,92.0,5.0
0.5566,0.6512,12.0,3.0,0.6296,0.8235,0.5385,176.0,14.0
0.5239,0.6154,7.0,3.0,0.5843,0.7273,0.5333,118.0,8.0
0.506,0.6154,17.0,3.0,0.5974,0.8421,0.4848,191.0,16.0
0.5298,0.6207,8.0,3.0,0.5925,0.75,0.5294,131.0,9.0
0.5551,0.625,4.0,2.0,0.6004,0.7143,0.5556,95.0,5.0
0.499,0.6038,18.0,3.0,0.5895,0.8421,0.4706,206.0,16.0
0.5253,0.6154,7.0,3.0,0.5849,0.7273,0.5333,120.0,8.0
0.5004,0.6038,18.0,3.0,0.5901,0.8421,0.4706,209.0,16.0
0.5565,0.625,4.0,2.0,0.601,0.7143,0.5556,97.0,5.0
0.5344,0.625,8.0,4.0,0.5916,0.7143,0.5556,145.0,10.0
0.5291,0.6207,8.0,3.0,0.5922,0.75,0.5294,130.0,9.0
0.5303,0.6316,9.0,5.0,0.5922,0.7059,0.5714,152.0,12.0
0.5555,0.6512,12.0,3.0,0.6292,0.8235,0.5385,174.0,14.0
0.497,0.6038,18.0,3.0,0.5888,0.8421,0.4706,202.0,16.0
0.5319,0.625,8.0,4.0,0.5906,0.7143,0.5556,141.0,10.0
0.5591,0.6316,4.0,3.0,0.6013,0.6667,0.6,108.0,6.0
0.5332,0.625,8.0,4.0,0.5911,0.7143,0.5556,143.0,10.0
0.5575,0.6452,8.0,3.0,0.6183,0.7692,0.5556,140.0,10.0
0.5223,0.6154,7.0,3.0,0.5836,0.7273,0.5333,116.0,8.0
0.5703,0.6667,12.0,3.0,0.6439,0.8333,0.5556,176.0,15.0
