node,smelly
"{'tosca.relationships.nfv.VirtualLinksTo': {'derived_from': 'tosca.relationships.network.LinksTo', 'valid_target_types': ['tosca.capabilities.nfv.VirtualLinkable']}}",lazy
"{'tosca.relationships.nfv.VirtualBindsTo': {'derived_from': 'tosca.relationships.network.BindsTo', 'valid_target_types': ['tosca.capabilities.nfv.VirtualBindable']}}",lazy
"{'tosca.relationships.nfv.HA': {'derived_from': 'tosca.relationships.Root', 'valid_target_types': ['tosca.capabilities.nfv.HA']}}",lazy
"{'tosca.relationships.nfv.Monitor': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['tosca.capabilities.nfv.Metric']}}",lazy
"{'tosca.relationships.nfv.ForwardsTo': {'derived_from': 'tosca.relationships.root', 'valid_target_types': ['tosca.capabilities.nfv.Forwarder']}}",lazy
"{'MyAttachesTo': {'derived_from': 'tosca.relationships.AttachesTo', 'properties': {'location': {'type': 'string', 'default': '/default_location'}}}}",lazy
"{'tosca.relationships.mec.VirtualLinksTo': {'derived_from': 'tosca.relationships.network.LinksTo', 'valid_target_types': ['tosca.capabilities.mec.VirtualLinkable']}}",lazy
"{'tosca.relationships.mec.VirtualBindsTo': {'derived_from': 'tosca.relationships.network.BindsTo', 'valid_target_types': ['tosca.capabilities.mec.VirtualBindable']}}",lazy
"{'tosca.relationships.mec.HA': {'derived_from': 'tosca.relationships.Root', 'valid_target_types': ['tosca.capabilities.mec.HA']}}",lazy
"{'tosca.relationships.mec.Monitor': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['tosca.capabilities.mec.Metric']}}",lazy
"{'tosca.relationships.mec.ForwardsTo': {'derived_from': 'tosca.relationships.root', 'valid_target_types': ['tosca.capabilities.mec.Forwarder']}}",lazy
"{'tosca.relationships.Root': {'description': 'The TOSCA root Relationship Type all other TOSCA base Relationship Types derive from.\n', 'attributes': {'tosca_id': {'type': 'string'}, 'tosca_name': {'type': 'string'}}, 'interfaces': {'Configure': {'type': 'tosca.interfaces.relationship.Configure'}}}}",false
{'tosca.relationships.DependsOn': {'derived_from': 'tosca.relationships.Root'}},lazy
"{'tosca.relationships.HostedOn': {'derived_from': 'tosca.relationships.Root', 'valid_target_types': ['tosca.capabilities.Container']}}",lazy
"{'tosca.relationships.ConnectsTo': {'derived_from': 'tosca.relationships.Root', 'valid_target_types': ['tosca.capabilities.Endpoint'], 'credential': {'type': 'tosca.datatypes.Credential', 'required': False}}}",false
"{'tosca.relationships.AttachesTo': {'derived_from': 'tosca.relationships.Root', 'valid_target_types': ['tosca.capabilities.Attachment'], 'properties': {'location': {'required': True, 'type': 'string', 'constraints': [{'min_length': 1}]}, 'device': {'required': False, 'type': 'string'}}}}",false
"{'tosca.relationships.RoutesTo': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['tosca.capabilities.Endpoint']}}",false
"{'tosca.relationships.network.LinksTo': {'derived_from': 'tosca.relationships.DependsOn', 'valid_target_types': ['tosca.capabilities.network.Linkable']}}",false
"{'tosca.relationships.network.BindsTo': {'derived_from': 'tosca.relationships.DependsOn', 'valid_target_types': ['tosca.capabilities.network.Bindable']}}",false
{'test.relation.connects': {'derived_from4': 'tosca.relationships.ConnectsTo'}},lazy
"{'MyAttachesTo': {'derived_from': 'AttachesTo', 'properties': {'location': '/default_location'}, 'interfaces': {'Configure': {'post_configure_target': {'implementation': 'default_script.sh'}}}}}",false
"{'my.types.WordpressDbConnection': {'derived_from': 'tosca.relationships.ConnectsTo', 'properties': {'credential': {'user': 'db_user', 'token': 'db_pwd'}}}}",false
{'MyCustomAttachesTo': {'derived_from': 'AttachesTo'}},lazy
{'org.alien4cloud.automation.a4c.pub.relationships.AlienConfiguratorHostedOnAlien': {'derived_from': 'tosca.relationships.HostedOn'}},lazy
"{'org.alien4cloud.monitoring.diamond.agent_linux.relationships.DiamondLinuxAgentConnectsToGraphite': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.monitoring.pub.capabilities.GraphiteDataEndpoint'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connects_to_graphite.yml', 'graphite_host': {'get_attribute': ['TARGET', 'data_endpoint', 'ip_address']}, 'graphite_port': {'get_attribute': ['TARGET', 'data_endpoint', 'port']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.monitoring.diamond.agent_linux.relationships.DiamondLinuxAgentConnectsToGrafana': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.monitoring.pub.capabilities.GrafanaHttpEndpoint'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connects_to_grafana.yml', 'grafana_url': {'concat': [{'get_attribute': ['TARGET', 'http_endpoint', 'protocol']}, '://', {'get_attribute': ['TARGET', 'http_endpoint', 'ip_address']}, ':', {'get_attribute': ['TARGET', 'http_endpoint', 'port']}]}, 'grafana_user': {'get_attribute': ['TARGET', 'http_endpoint', 'user']}, 'grafana_password': {'get_attribute': ['TARGET', 'http_endpoint', 'password']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
