id,type,smelly,lines_code,lines_blank,lines_comment,num_keys,num_suspicious_comments,num_tokens,text_entropy,num_imports,num_inputs,num_interfaces,num_node_templates,num_node_types,num_parameters,num_properties,num_relationship_templates,num_relationship_types,num_shell_scripts
2462,"{'org.alien4cloud.grafana.linux_ans.relationships.GrafanaConnectToGraphite': {'derived_from': 'tosca.relationships.ConnectsTo', 'properties': {'datasource_name': {'type': 'string', 'required': True, 'default': 'Graphite_DS'}}, 'valid_target_types': ['org.alien4cloud.graphite.pub.capabilities.GraphiteHttpEndpoint'], 'interfaces': {'Configure': {'add_target': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connects_to_graphite.yml', 'graphite_host': {'get_attribute': ['TARGET', 'http_endpoint', 'ip_address']}, 'graphite_port': {'get_property': ['TARGET', 'http_endpoint', 'port']}, 'grafana_port': {'get_property': ['SOURCE', 'http_endpoint', 'port']}, 'grafana_user': {'get_property': ['SOURCE', 'http_endpoint', 'user']}, 'grafana_password': {'get_property': ['SOURCE', 'http_endpoint', 'password']}, 'datasource_name': {'get_property': ['SELF', 'datasource_name']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",,45.0,0.0,0.0,27.0,0.0,52.0,4.99,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2350,"{'my.types.WordpressDbConnection': {'derived_from': 'tosca.relationships.ConnectsTo', 'properties': {'credential': {'user': 'db_user', 'token': 'db_pwd'}}}}",,6.0,0.0,0.0,6.0,0.0,9.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1580,"{'org.ystia.yorc.samples.tests.AnsibleIterationComponent': {'description': 'This component iterates on printing a message n times, sleeping a given\nnumber of seconds between each iteration.\n', 'derived_from': 'tosca.nodes.SoftwareComponent', 'properties': {'messageToPrint': {'description': 'Message to print on each iteration', 'type': 'string', 'default': 'Message'}, 'numberOfIterations': {'description': 'Number of iterations to perform', 'type': 'integer', 'default': 10}, 'pauseDuration': {'description': 'Duration in seconds of the pause after each iteration', 'type': 'integer', 'default': 1}}, 'interfaces': {'Standard': {'create': {'inputs': {'MESSAGE': {'get_property': ['SELF', 'messageToPrint']}, 'ITERATIONS': {'get_property': ['SELF', 'numberOfIterations']}, 'PAUSE_DURATION': {'get_property': ['SELF', 'pauseDuration']}}, 'implementation': 'ansible/create.yaml'}, 'start': {'implementation': 'ansible/iterate.yaml'}}, 'custom': {'iterate': {'inputs': None, 'implementation': 'ansible/iterate.yaml'}}}}}",,40.0,0.0,0.0,33.0,0.0,87.0,5.69,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
932,"{'tosca.nodes.Abstract.Compute': {'derived_from': 'tosca.nodes.Root', 'capabilities': {'host': {'type': 'tosca.capabilities.Compute', 'valid_source_types': []}}}}",,6.0,0.0,0.0,6.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1291,"{'org.ystia.yorc.pub.location.GoogleConfig': {'derived_from': 'org.ystia.yorc.pub.location.LocationConfig', 'description': 'Google Compute Engine location configuration for Yorc\n', 'abstract': True, 'properties': {'project': {'description': 'Google Cloud project', 'type': 'string', 'required': True}, 'region': {'description': 'Google Compute Engine region', 'type': 'string', 'required': False}, 'application_credentials': {'description': 'Path to file containing service account private keys in JSON format', 'type': 'string', 'required': False}, 'credentials': {'description': 'Content of file containing service account private keys', 'type': 'string', 'required': False}, 'use_vault': {'description': 'Use vault to reference secrets in configuration', 'type': 'boolean', 'default': True}}, 'requirements': [{'host': {'capability': 'org.ystia.yorc.pub.capabilities.YorcConfigContainer', 'relationship': 'org.ystia.yorc.pub.relationships.YorcConfigHostedOnYorc', 'occurrences': [1, 1]}}]}}",,32.0,0.0,0.0,30.0,0.0,86.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
1858,"{'kubernetes.nodes.Deployment': {'derived_from': 'kubernetes.nodes.Root', 'properties': {'apiGroup': {'type': 'string', 'default': 'apps', 'required': True}, 'metadata': {'description': ""Standard object's metadata."", 'type': 'kubernetes.datatypes.ObjectMeta.name', 'required': True}, 'spec': {'type': 'kubernetes.datatypes.DeploymentSpec', 'required': True}}}}",,14.0,0.0,0.0,14.0,0.0,25.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1994,"{'org.alien4cloud.nodes.AuroraExecutor': {'derived_from': 'tosca.nodes.SoftwareComponent', 'description': 'Aurora Executor\n', 'tags': {'icon': 'images/aurora_icon.png'}, 'requirements': [{'host': {'capability': 'org.alien4cloud.capabilities.MesosSlaveHost', 'relationship': 'org.alien4cloud.relationships.AuroraExecutorHostedOnSlave', 'occurrences': [1, 1], 'node_filter': {'properties': [{'component_version': {'equal': '0.25.0-0.2.70'}}]}}}], 'interfaces': {'Standard': {'create': {'inputs': {'OS': {'get_property': ['HOST', 'os', 'distribution']}}, 'implementation': 'scripts/install_executor.sh'}, 'configure': {'inputs': {'MESOS_WORK_DIR': {'get_property': ['HOST', 'work_dir']}}, 'implementation': 'scripts/configure_executor.sh'}}}}}",,33.0,0.0,0.0,26.0,0.0,42.0,5.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2527,"{'tosca.relationships.Root': {'metadata': {'puccini.normative': 'true', 'specification.citation': '[TOSCA-Simple-Profile-YAML-v1.0]', 'specification.location': '5.6.1'}, 'description': 'This is the default (root) TOSCA Relationship Type definition that all other TOSCA Relationship Types derive from.', 'attributes': {'tosca_id': {'description': 'A unique identifier of the realized instance of a Relationship Template that derives from any TOSCA normative type.', 'type': 'string'}, 'tosca_name': {'description': 'This attribute reflects the name of the Relationship Template as defined in the TOSCA service template. This name is not unique to the realized instance model of corresponding deployed application as each template in the model can result in one or more instances (e.g., scaled) when orchestrated to a provider environment.', 'type': 'string'}, 'state': {'description': 'The state of the relationship instance.', 'type': 'string', 'default': 'initial'}}, 'interfaces': {'Configure': {'type': 'tosca.interfaces.relationship.Configure'}}}}",,26.0,0.0,0.0,20.0,0.0,120.0,6.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,{'tosca.nodes.EnterpriseServiceBus': {'derived_from': 'tosca.nodes.Middleware'}},,2.0,0.0,0.0,2.0,0.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,"{'tosca.relationships.openstack.ssh_keypair_provider': {'derived_from': 'tosca.relationships.Root', 'interfaces': {'Configure': {'type': 'tosca.interfaces.relationship.Configure', 'link': {'implementation': 'openstack_plugin.tasks.ssh:link', 'inputs': {'type': 'map'}}, 'unlink': {'implementation': 'openstack_plugin.tasks.ssh:unlink', 'inputs': {'type': 'map'}}}}}}",,13.0,0.0,0.0,13.0,0.0,19.0,3.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
