type,smelly
"{'tosca.nodes.nfv.VNF': {'derived_from': 'tosca.nodes.Root', 'properties': {'id': {'type': 'string', 'description': 'ID of this VNF'}, 'vendor': {'type': 'string', 'description': 'name of the vendor who generate this VNF'}, 'version': {'type': 'version', 'description': 'version of the software for this VNF'}}, 'requirements': [{'virtualLink': {'capability': 'tosca.capabilities.nfv.VirtualLinkable', 'relationship': 'tosca.relationships.nfv.VirtualLinksTo', 'node': 'tosca.nodes.nfv.VL'}}]}}",0
"{'tosca.nodes.nfv.VDU': {'derived_from': 'tosca.nodes.Compute', 'capabilities': {'high_availability': {'type': 'tosca.capabilities.nfv.HA'}, 'virtualbinding': {'type': 'tosca.capabilities.nfv.VirtualBindable'}, 'monitoring_parameter': {'type': 'tosca.capabilities.nfv.Metric'}}, 'requirements': [{'high_availability': {'capability': 'tosca.capabilities.nfv.HA', 'relationship': 'tosca.relationships.nfv.HA', 'node': 'tosca.nodes.nfv.VDU', 'occurrences': [0, 1]}}]}}",0
"{'tosca.nodes.nfv.CP': {'derived_from': 'tosca.nodes.network.Port', 'properties': {'type': {'type': 'string', 'required': False}}, 'requirements': [{'virtualLink': {'capability': 'tosca.capabilities.nfv.VirtualLinkable', 'relationship': 'tosca.relationships.nfv.VirtualLinksTo', 'node': 'tosca.nodes.nfv.VL'}}, {'virtualBinding': {'capability': 'tosca.capabilities.nfv.VirtualBindable', 'relationship': 'tosca.relationships.nfv.VirtualBindsTo', 'node': 'tosca.nodes.nfv.VDU'}}], 'attributes': {'address': {'type': 'string'}}}}",0
"{'tosca.nodes.nfv.VL': {'derived_from': 'tosca.nodes.network.Network', 'properties': {'vendor': {'type': 'string', 'required': True, 'description': 'name of the vendor who generate this VL'}}, 'capabilities': {'virtual_linkable': {'type': 'tosca.capabilities.nfv.VirtualLinkable'}}}}",0
"{'tosca.nodes.nfv.VL.ELine': {'derived_from': 'tosca.nodes.nfv.VL', 'capabilities': {'virtual_linkable': {'occurrences': 2}}}}",0
{'tosca.nodes.nfv.VL.ELAN': {'derived_from': 'tosca.nodes.nfv.VL'}},0
{'tosca.nodes.nfv.VL.ETree': {'derived_from': 'tosca.nodes.nfv.VL'}},0
"{'tosca.nodes.nfv.FP': {'derived_from': 'tosca.nodes.Root', 'properties': {'policy': {'type': 'string', 'required': False, 'description': 'name of the vendor who generate this VL'}}, 'requirements': [{'forwarder': {'capability': 'tosca.capabilities.nfv.Forwarder', 'relationship': 'tosca.relationships.nfv.ForwardsTo'}}]}}",0
"{'tosca.nodes.mec.MEA': {'derived_from': 'tosca.nodes.Root', 'properties': {'id': {'type': 'string', 'description': 'ID of this MEA'}, 'vendor': {'type': 'string', 'description': 'name of the vendor who generate this MEA'}, 'version': {'type': 'version', 'description': 'version of the software for this MEA'}}, 'requirements': [{'virtualLink': {'capability': 'tosca.capabilities.mec.VirtualLinkable', 'relationship': 'tosca.relationships.mec.VirtualLinksTo', 'node': 'tosca.nodes.mec.VL'}}]}}",0
"{'tosca.nodes.mec.VDU': {'derived_from': 'tosca.nodes.Compute', 'capabilities': {'high_availability': {'type': 'tosca.capabilities.mec.HA'}, 'virtualbinding': {'type': 'tosca.capabilities.mec.VirtualBindable'}, 'monitoring_parameter': {'type': 'tosca.capabilities.mec.Metric'}}, 'requirements': [{'high_availability': {'capability': 'tosca.capabilities.mec.HA', 'relationship': 'tosca.relationships.mec.HA', 'node': 'tosca.nodes.mec.VDU', 'occurrences': [0, 1]}}]}}",0
"{'tosca.nodes.mec.CP': {'derived_from': 'tosca.nodes.network.Port', 'properties': {'type': {'type': 'string', 'required': False}}, 'requirements': [{'virtualLink': {'capability': 'tosca.capabilities.mec.VirtualLinkable', 'relationship': 'tosca.relationships.mec.VirtualLinksTo', 'node': 'tosca.nodes.mec.VL'}}, {'virtualBinding': {'capability': 'tosca.capabilities.mec.VirtualBindable', 'relationship': 'tosca.relationships.mec.VirtualBindsTo', 'node': 'tosca.nodes.mec.VDU'}}], 'attributes': {'address': {'type': 'string'}}}}",0
"{'tosca.nodes.mec.VL': {'derived_from': 'tosca.nodes.network.Network', 'properties': {'vendor': {'type': 'string', 'required': True, 'description': 'name of the vendor who generate this VL'}}, 'capabilities': {'virtual_linkable': {'type': 'tosca.capabilities.mec.VirtualLinkable'}}}}",0
"{'tosca.nodes.mec.VL.ELine': {'derived_from': 'tosca.nodes.mec.VL', 'capabilities': {'virtual_linkable': {'occurrences': 2}}}}",0
{'tosca.nodes.mec.VL.ELAN': {'derived_from': 'tosca.nodes.mec.VL'}},0
{'tosca.nodes.mec.VL.ETree': {'derived_from': 'tosca.nodes.mec.VL'}},0
"{'tosca.nodes.mec.FP': {'derived_from': 'tosca.nodes.Root', 'properties': {'policy': {'type': 'string', 'required': False, 'description': 'name of the vendor who generate this VL'}}, 'requirements': [{'forwarder': {'capability': 'tosca.capabilities.mec.Forwarder', 'relationship': 'tosca.relationships.mec.ForwardsTo'}}]}}",0
{'tosca.nodes.SomeNode': {'derived_from': 'tosca.nodes.SoftwareComponent'}},0
"{'tosca.nodes.SoftwareComponent.Elasticsearch': {'derived_from': 'tosca.nodes.SoftwareComponent', 'capabilities': {'search_endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
"{'tosca.nodes.Root': {'description': 'The TOSCA root node all other TOSCA base node types derive from.\n', 'attributes': {'tosca_id': {'type': 'string'}, 'tosca_name': {'type': 'string'}, 'state': {'type': 'string'}}, 'capabilities': {'feature': {'type': 'tosca.capabilities.Node'}}, 'requirements': [{'dependency': {'capability': 'tosca.capabilities.Node', 'node': 'tosca.nodes.Root', 'relationship': 'tosca.relationships.DependsOn', 'occurrences': [0, 'UNBOUNDED']}}], 'interfaces': {'Standard': {'type': 'tosca.interfaces.node.lifecycle.Standard'}}}}",0
"{'tosca.nodes.Compute': {'derived_from': 'tosca.nodes.Root', 'attributes': {'private_address': {'type': 'string'}, 'public_address': {'type': 'string'}, 'networks': {'type': 'map', 'entry_schema': {'type': 'tosca.datatypes.network.NetworkInfo'}}, 'ports': {'type': 'map', 'entry_schema': {'type': 'tosca.datatypes.network.PortInfo'}}}, 'capabilities': {'host': {'type': 'tosca.capabilities.Container'}, 'binding': {'type': 'tosca.capabilities.network.Bindable'}, 'os': {'type': 'tosca.capabilities.OperatingSystem'}, 'scalable': {'type': 'tosca.capabilities.Scalable'}, 'endpoint': {'type': 'tosca.capabilities.Endpoint.Admin'}}, 'requirements': [{'local_storage': {'capability': 'tosca.capabilities.Attachment', 'node': 'tosca.nodes.BlockStorage', 'relationship': 'tosca.relationships.AttachesTo', 'occurrences': [0, 'UNBOUNDED']}}]}}",0
"{'tosca.nodes.SoftwareComponent': {'derived_from': 'tosca.nodes.Root', 'properties': {'component_version': {'type': 'version', 'required': False, 'description': 'Software component version.\n'}, 'admin_credential': {'type': 'tosca.datatypes.Credential', 'required': False}}, 'requirements': [{'host': {'capability': 'tosca.capabilities.Container', 'node': 'tosca.nodes.Compute', 'relationship': 'tosca.relationships.HostedOn'}}]}}",0
"{'tosca.nodes.DBMS': {'derived_from': 'tosca.nodes.SoftwareComponent', 'properties': {'port': {'required': False, 'type': 'integer', 'description': 'The port the DBMS service will listen to for data and requests.\n'}, 'root_password': {'required': False, 'type': 'string', 'description': 'The root password for the DBMS service.\n'}}, 'capabilities': {'host': {'type': 'tosca.capabilities.Container', 'valid_source_types': ['tosca.nodes.Database']}}}}",0
"{'tosca.nodes.Database': {'derived_from': 'tosca.nodes.Root', 'properties': {'user': {'required': False, 'type': 'string', 'description': 'User account name for DB administration\n'}, 'port': {'required': False, 'type': 'integer', 'description': 'The port the database service will use to listen for incoming data and requests.\n'}, 'name': {'required': False, 'type': 'string', 'description': 'The name of the database.\n'}, 'password': {'required': False, 'type': 'string', 'description': 'The password for the DB user account\n'}}, 'requirements': [{'host': {'capability': 'tosca.capabilities.Container', 'node': 'tosca.nodes.DBMS', 'relationship': 'tosca.relationships.HostedOn'}}], 'capabilities': {'database_endpoint': {'type': 'tosca.capabilities.Endpoint.Database'}}}}",0
"{'tosca.nodes.WebServer': {'derived_from': 'tosca.nodes.SoftwareComponent', 'capabilities': {'data_endpoint': {'type': 'tosca.capabilities.Endpoint'}, 'admin_endpoint': {'type': 'tosca.capabilities.Endpoint.Admin'}, 'host': {'type': 'tosca.capabilities.Container', 'valid_source_types': ['tosca.nodes.WebApplication']}}}}",0
"{'tosca.nodes.WebApplication': {'derived_from': 'tosca.nodes.Root', 'properties': {'context_root': {'type': 'string', 'required': False}}, 'requirements': [{'host': {'capability': 'tosca.capabilities.Container', 'node': 'tosca.nodes.WebServer', 'relationship': 'tosca.relationships.HostedOn'}}], 'capabilities': {'app_endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
"{'tosca.nodes.BlockStorage': {'derived_from': 'tosca.nodes.Root', 'properties': {'size': {'type': 'scalar-unit.size', 'constraints': [{'greater_or_equal': '1 MB'}]}, 'volume_id': {'type': 'string', 'required': False}, 'snapshot_id': {'type': 'string', 'required': False}}, 'attributes': {'volume_id': {'type': 'string'}}, 'capabilities': {'attachment': {'type': 'tosca.capabilities.Attachment'}}}}",0
"{'tosca.nodes.network.Network': {'derived_from': 'tosca.nodes.Root', 'description': 'The TOSCA Network node represents a simple, logical network service.\n', 'properties': {'ip_version': {'type': 'integer', 'required': False, 'default': 4, 'constraints': [{'valid_values': [4, 6]}], 'description': 'The IP version of the requested network. Valid values are 4 for ipv4 or 6 for ipv6.\n'}, 'cidr': {'type': 'string', 'required': False, 'description': 'The cidr block of the requested network.\n'}, 'start_ip': {'type': 'string', 'required': False, 'description': 'The IP address to be used as the start of a pool of addresses within the full IP range derived from the cidr block.\n'}, 'end_ip': {'type': 'string', 'required': False, 'description': 'The IP address to be used as the end of a pool of addresses within the full IP range derived from the cidr block.\n'}, 'gateway_ip': {'type': 'string', 'required': False, 'description': 'The gateway IP address.\n'}, 'network_name': {'type': 'string', 'required': False, 'description': 'An identifier that represents an existing Network instance in the underlying cloud infrastructure or can be used as the name of the newly created network. If network_name is provided and no other properties are provided (with exception of network_id), then an existing network instance will be used. If network_name is provided alongside with more properties then a new network with this name will be created.\n'}, 'network_id': {'type': 'string', 'required': False, 'description': 'An identifier that represents an existing Network instance in the underlying cloud infrastructure. This property is mutually exclusive with all other properties except network_name. This can be used alone or together with network_name to identify an existing network.\n'}, 'segmentation_id': {'type': 'string', 'required': False, 'description': 'A segmentation identifier in the underlying cloud infrastructure. E.g. VLAN ID, GRE tunnel ID, etc..\n'}, 'network_type': {'type': 'string', 'required': False, 'description': 'It specifies the nature of the physical network in the underlying cloud infrastructure. Examples are flat, vlan, gre or vxlan. For flat and vlan types, physical_network should be provided too.\n'}, 'physical_network': {'type': 'string', 'required': False, 'description': 'It identifies the physical network on top of which the network is implemented, e.g. physnet1. This property is required if network_type is flat or vlan.\n'}, 'dhcp_enabled': {'type': 'boolean', 'required': False, 'default': True, 'description': 'Indicates should DHCP service be enabled on the network or not.\n'}}, 'capabilities': {'link': {'type': 'tosca.capabilities.network.Linkable'}}}}",0
"{'tosca.nodes.network.Port': {'derived_from': 'tosca.nodes.Root', 'description': 'The TOSCA Port node represents a logical entity that associates between Compute and Network normative types. The Port node type effectively represents a single virtual NIC on the Compute node instance.\n', 'properties': {'ip_address': {'type': 'string', 'required': False, 'description': 'Allow the user to set a static IP.\n'}, 'order': {'type': 'integer', 'required': False, 'default': 0, 'constraints': [{'greater_or_equal': 0}], 'description': 'The order of the NIC on the compute instance (e.g. eth2).\n'}, 'is_default': {'type': 'boolean', 'required': False, 'default': False, 'description': 'If is_default=true this port will be used for the default gateway route. Only one port that is associated to single compute node can set as is_default=true.\n'}, 'ip_range_start': {'type': 'string', 'required': False, 'description': 'Defines the starting IP of a range to be allocated for the compute instances that are associated with this Port.\n'}, 'ip_range_end': {'type': 'string', 'required': False, 'description': 'Defines the ending IP of a range to be allocated for the compute instances that are associated with this Port.\n'}}, 'attributes': {'ip_address': {'type': 'string'}}, 'requirements': [{'binding': {'description': 'Binding requirement expresses the relationship between Port and Compute nodes. Effectively it indicates that the Port will be attached to specific Compute node instance\n', 'capability': 'tosca.capabilities.network.Bindable', 'relationship': 'tosca.relationships.network.BindsTo', 'node': 'tosca.nodes.Compute'}}, {'link': {'description': 'Link requirement expresses the relationship between Port and Network nodes. It indicates which network this port will connect to.\n', 'capability': 'tosca.capabilities.network.Linkable', 'relationship': 'tosca.relationships.network.LinksTo', 'node': 'tosca.nodes.network.Network'}}]}}",0
"{'tosca.nodes.network.FloatingIP': {'derived_from': 'tosca.nodes.Root', 'description': 'The TOSCA FloatingIP node represents a floating IP that can associate to a Port.\n', 'properties': {'floating_network': {'type': 'string', 'required': True}, 'floating_ip_address': {'type': 'string', 'required': False}, 'port_id': {'type': 'string', 'required': False}}, 'requirements': [{'link': {'capability': 'tosca.capabilities.network.Linkable', 'relationship': 'tosca.relationships.network.LinksTo', 'node': 'tosca.nodes.network.Port'}}]}}",0
"{'tosca.nodes.ObjectStorage': {'derived_from': 'tosca.nodes.Root', 'description': 'The TOSCA ObjectStorage node represents storage that provides the ability to store data as objects (or BLOBs of data) without consideration for the underlying filesystem or devices\n', 'properties': {'name': {'type': 'string', 'required': True, 'description': 'The logical name of the object store (or container).\n'}, 'size': {'type': 'scalar-unit.size', 'required': False, 'constraints': [{'greater_or_equal': '0 GB'}], 'description': 'The requested initial storage size.\n'}, 'maxsize': {'type': 'scalar-unit.size', 'required': False, 'constraints': [{'greater_or_equal': '0 GB'}], 'description': 'The requested maximum storage size.\n'}}, 'capabilities': {'storage_endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
